"ID de respuesta","Fecha de envío","Última página","Lenguaje inicial","Fecha de inicio","Fecha de la última acción","Dirección IP","URL de referencia","Indique a qué organismo está asociado en el servicio","Rol que ocupa en su organización con respecto al Servicio Corporativo Oracle","¿Cubre el Servicio Corporativo Oracle sus necesidades en cuestión de licencias de productos?","¿Le resulta útil la base de conocimientos de My Oracle Support para encontrar soluciones Vd. mismo?","¿Qué nivel medio de calidad de servicio ha recibido en la resolución de SR?","Valore de forma global el nivel de servicio ofrecido por Soporte Básico, My Oracle Support","Haznos llegar cualquier observación relativa al soporte básico y/o su herramienta (MOS)","Evalúe la relación con el gestor de cuenta asignado a su organismo","Capacitación/conocimientos técnicos del equipo de ingenieros Oracle en la tecnología Oracle utilizada en sus sistemas","Rendimiento/eficiencia del equipo de ingenieros Oracle (si responden en tiempo en relación a los hitos acordados)","Eficacia del equipo de ingenieros Oracle (si su trabajo se ajusta a los objetivos marcados y tiene un planteamiento directo, práctico y útil)","Calidad del equipo de ingenieros Oracle (si se esmeran en la calidad de los resultados)","Accesibilidad/disponibilidad del equipo de ingenieros Oracle. Facilidad de interacción y acceso al equipo técnico","Proactividad del equipo de ingenieros Oracle (envío de alertas sobre parches, propuestas de cambio, etc)","Carácter/Disposición del equipo de ingenieros Oracle (carácter, trato, nivel de motivación, etc.)","Grado de implicación en sus proyectos y nivel de conocimiento de su infraestructura por parte del equipo que presta el Servicio Corporativo Oracle","Evalúe de forma global la cualificación y actitud del equipo de ingenieros Oracle que presta servicio a su organismo","Haznos llegar cualquier observación relativa al equipo de ingenieros de Soporte Avanzado: lo que más valoras, lo que habría que mejorar, etc.","Calidad del servicio recibido en la resolución de Incidencias y Consultas por parte de Soporte Avanzado","¿Cubre el Servicio Corporativo Oracle sus necesidades en relación a las actividades que se ejecutan en los Planes de Soporte?","Calidad de servicio recibido en la ejecución de asistencias especializadas y actividades definidas en el Plan de Soporte por parte de Soporte Avanzado.","Haznos llegar cualquier observación sobre la calidad y alcance de los servicios de Soporte Avanzado, tanto reactivo (incidencias y consultas) como proactivo (planes de soporte)","¿Consideras interesantes o útiles para tu organismo las sesiones de conocimiento propuestas para el 2015?","Evalúe el nivel de servicio recibido en relación a las transferencias de conocimiento","Haznos llegar cualquier observación sobre la actividad de transferencias de conocimiento","Valore de forma global el nivel de servicio ofrecido por los servicios de Soporte Avanzado","Haznos llegar cualquier observación relativa al Soporte Avanzado en general","¿Se considera convenientemente informado sobre acceso, uso, procedimientos, herramientas, convocatorias, campañas del servicio? ¿Recibe las noticias sobre el servicio?","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus consultas o peticiones de carácter general a la Dirección de Proyecto","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus peticiones de Solicitud de Acceso al Servicio por parte de CAU","Comentarios generales o propuestas de mejora sobre el diseño general del servicio","En términos globales ¿Cuál es su valoración de la prestación del Servicio Corporativo Oracle en su Organismo durante el último año?","Observaciones generales sobre el servicio recibido","Tiempo total","Temporización del grupo: Organismo y Rol","Temporización de la pregunta: O1","Temporización de la pregunta: O2","Temporización del grupo: Licencias","Temporización de la pregunta: A1","Temporización del grupo: Soporte Básico (SB)","Temporización de la pregunta: BB1","Temporización de la pregunta: BB2","Temporización de la pregunta: B1","Temporización de la pregunta: B2","Temporización del grupo: Soporte Avanzado (SA) - Equipo Técnico","Temporización de la pregunta: C1","Temporización de la pregunta: CC1","Temporización de la pregunta: CC2","Temporización de la pregunta: CC3","Temporización de la pregunta: CC4","Temporización de la pregunta: CC5","Temporización de la pregunta: CC6","Temporización de la pregunta: CC7","Temporización de la pregunta: C2","Temporización de la pregunta: C3","Temporización de la pregunta: C4","Temporización del grupo: Soporte Avanzado (SA) - Servicio","Temporización de la pregunta: C5","Temporización de la pregunta: C6","Temporización de la pregunta: C7","Temporización de la pregunta: C8","Temporización de la pregunta: C9","Temporización de la pregunta: CC9","Temporización de la pregunta: C10","Temporización de la pregunta: C11","Temporización de la pregunta: C12","Temporización del grupo: General - Diseño del Servicio","Temporización de la pregunta: D1","Temporización de la pregunta: D2","Temporización de la pregunta: D3","Temporización de la pregunta: D4","Temporización del grupo: Valoración global","Temporización de la pregunta: E1","Temporización de la pregunta: E2"
"42","","2","es","2015-05-19 13:46:22","2015-05-19 13:46:22","10.239.204.180","","CJI_SGT - Consejería de Justicia e Interior, Secretaría General Técnica","Perfil Técnico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.45","26.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","2015-05-20 08:27:40","7","es","2015-05-20 08:27:40","2015-05-20 08:27:40","10.118.85.35, 10.188.4.62","","SAE - Servicio Andaluz de Empleo","Enlace Dinamizador","Totalmente","","","Normal","","","","","","","","","","Excelente","Excelente","","Excelente","Totalmente","Buena","","Bastante","","","Excelente","","Parcialmente","Normal","Normal","","Buena","","149.53","14.18","","","7.55","","12.64","","","","","30.02","","","","","","","","","","","","37.63","","","","","","","","","","39.72","","","","","7.79","",""
"44","2015-05-20 09:13:43","7","es","2015-05-20 09:13:43","2015-05-20 09:13:43","10.237.193.27, 10.237.193.62","","AVRA - Agencia de Vivienda y Rehabilitación de Andalucía","Perfil Técnico","","Totalmente","Buena","Buena","","","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Buena","","Buena","Bastante","Buena","","Bastante","Buena","","Buena","","Bastante","Buena","","","Buena","","128.78","16.91","","","","","30.71","","","","","34.07","","","","","","","","","","","","31.37","","","","","","","","","","9.2","","","","","6.52","",""
"45","2015-05-20 10:49:44","7","es","2015-05-20 10:49:44","2015-05-20 10:49:44","10.229.40.200","","CMAOT - Consejería de Medio Ambiente y Ordenación del Territorio","Representante","Bastante","","","","","Buena","","","","","","","","Buena","Buena","","Buena","Bastante","Excelente","","","","","Buena","","Totalmente","Buena","","","Buena","","194.01","76.61","","","17.49","","10.68","","","","","17.35","","","","","","","","","","","","36.38","","","","","","","","","","26.9","","","","","8.6","",""
"46","","0","es","2015-05-20 17:32:56","2015-05-20 17:32:56","83.36.146.169","","SANDETEL - Sociedad Andaluza para el Desarrollo de las Telecomunicaciones","Enlace Dinamizador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.96","34.66","","","10.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","","3","es","2015-05-20 20:32:21","2015-05-20 20:32:21","10.225.14.11","","CAPDER - Consejería de Agricultura, Pesca y Desarrollo Rural","Representante","Totalmente","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.92","17.8","","","34","","5.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","2015-05-21 09:06:32","7","es","2015-05-21 09:06:32","2015-05-21 09:06:32","150.214.4.132","","CICA - Centro Informático Científico de Andalucía","Enlace Dinamizador","Totalmente","","","Buena","","Buena","","","","","","","","Excelente","Excelente","","Excelente","Totalmente","Excelente","","Totalmente","","","Excelente","","Totalmente","Buena","Normal","","Excelente","","249.21","49.52","","","9.77","","72.66","","","","","26.37","","","","","","","","","","","","59.52","","","","","","","","","","23.68","","","","","7.69","",""
"49","2015-05-25 11:33:55","7","es","2015-05-25 11:33:55","2015-05-25 11:33:55","10.205.96.63","","EPES - Empresa Pública de Emergencias Sanitarias","Representante","Bastante","","","Excelente","Los técnicos de ORACLE nos han ayudado analizando y aportando soluciones a las peticiones de ayuda que hemos realizado con motivo de la puesta en servicio de las plataformas de atención de los Centros Coordinadores de Urgencia y Emergencias Sanitarias del 061 (SIEPES CCR).
Los informes con sugerencia y recomendaciones han resultado muy oportunos y han mejorado notablemente el rendimiento del sistema.
","Excelente","","","","","","","","Excelente","Excelente","El equipo de ingenieros siempre se ha mostrado atento y dispuesto a prestarnos los apoyos que se les ha solicitado, incluso se han adaptado a los cambios de fechas de la planificación, a veces comunicada con bastante premura. ","Excelente","Totalmente","Excelente","Las recomendaciones de configuración que nos han hecho los técnicos de ORACLE han resultado muy oportunas y han mejorado el rendimiento del sistema","Bastante","","Cuando él técnico responsable de EPES ha podido asistir a la sesión de formación me trasladó una valoración positiva. Aunque hemos tenido problemas para organizar la liberar a los técnicos para poder asistir a dichas sesiones.","Excelente","","Totalmente","Excelente","Excelente","Las solicitudes de servicio se han atendido siempre con agilidad y adaptadas a nuestras necesidades.","Excelente","","1663.39","63.54","","","21.53","","1022.19","","","","","154.91","","","","","","","","","","","","302.37","","","","","","","","","","84.46","","","","","14.39","",""
"50","2015-05-25 11:36:51","7","es","2015-05-25 11:36:51","2015-05-25 11:36:51","10.118.85.68, 10.225.224.152","","CISPS - Consejería de Igualdad, Salud y Políticas Sociales","Perfil Técnico","","Totalmente","Buena","Buena","","","Buena","Buena","Buena","Buena","Buena","Normal","Buena","Normal","Normal","","Buena","Bastante","Buena","","Bastante","Buena","","Normal","","Bastante","Normal","","","Normal","","202.25","25.69","","","","","33.78","","","","","62.95","","","","","","","","","","","","49.2","","","","","","","","","","19.72","","","","","10.91","",""
"51","","2","es","2015-05-25 11:37:09","2015-05-25 11:37:09","10.237.128.33","http://www.sandetel.es/calidad/index.php/survey/index/sid/378888/token/vhmcxa47hbhqbsb/lang/es","APPA - Agencia Pública de Puertos de Andalucía","Perfil Técnico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9","24.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","2015-05-25 11:37:22","7","es","2015-05-25 11:37:22","2015-05-25 11:37:22","10.237.67.162, 10.205.96.59","","EPES - Empresa Pública de Emergencias Sanitarias","Perfil Técnico","","Parcialmente","Buena","Buena","","","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Buena","Buena","","","","","","","","","","","Bastante","Buena","","","Buena","","2158.81","461.33","","","","","1642.24","","","","","24.36","","","","","","","","","","","","11.07","","","","","","","","","","11.41","","","","","8.4","",""
"53","2015-05-25 11:40:31","7","es","2015-05-25 11:40:31","2015-05-25 11:40:31","10.236.137.132, 10.236.250.4","","RTVA - Radio Televisión de Andalucía","Perfil Técnico","","Bastante","Excelente","Buena","","","Excelente","Excelente","Excelente","Excelente","Excelente","Buena","Excelente","Buena","Excelente","","Excelente","Bastante","Excelente","","Totalmente","Excelente","","Excelente","","Totalmente","Buena","","","Excelente","","235.05","28.74","","","","","39.77","","","","","73.78","","","","","","","","","","","","54.78","","","","","","","","","","26.66","","","","","11.32","",""
"54","2015-05-25 11:44:12","7","es","2015-05-25 11:44:12","2015-05-25 11:44:12","10.104.49.78, 10.104.48.62, 10.235.52.205","","SAS_SSPA - Servicio Andaluz de Salud, Hospitales","Perfil Técnico","","Parcialmente","Buena","Buena","Cuando ante una incidencia entra el soporte a través de MOS donde participa un técnico de Oracle (por ejemplo, Inglaterra, EEUU,etc) las respuestas se demoran y por tanto la resolución del caso","","Buena","Excelente","Excelente","Excelente","Excelente","Buena","Excelente","Normal","Buena","Lo mejor, es la disponibilidad, amabilidad e interés en resolver cualquier incidente o consulta.
","Buena","Bastante","Buena","","Totalmente","Buena","La asistencia de los técnicos en provincias es difícil y la plataforma de seguimiento en online funciona regular puesto que se corta el sonido e incluso la imagen, lo cual dificulta el seguimiento de las sesiones.","Buena","","Bastante","Excelente","","","Buena","","591.37","38.93","","","","","254.01","","","","","145.93","","","","","","","","","","","","118.97","","","","","","","","","","21.93","","","","","11.6","",""
"55","2015-05-25 11:54:15","7","es","2015-05-25 11:54:15","2015-05-25 11:54:15","10.205.96.63","","EPES - Empresa Pública de Emergencias Sanitarias","Perfil Técnico","","Bastante","Buena","Excelente","Debido a la amplitud y cantidad de los contenidos, sería muy útil que se colgara en la web del servicio algún tutorial o documentos de mejores prácticas para ayudar a conseguir la información deseada.
","","Excelente","Normal","Buena","Buena","Normal","Buena","","Normal","Buena","","Excelente","Totalmente","Buena","","Totalmente","Buena","Se deben realizar también fuera de Sevilla
Se debería tener acceso a las charlas online","Excelente","","Totalmente","Excelente","","","Buena","Sería deseable aumentar el material de formación para los usuarios del servicio.
","3664.97","19.27","","","","","141.09","","","","","93.91","","","","","","","","","","","","2441.31","","","","","","","","","","920.74","","","","","48.65","",""
"56","2015-05-25 11:55:42","7","es","2015-05-25 11:55:42","2015-05-25 11:55:42","10.226.138.205","","CHAP - Consejería de Hacienda y Administración Pública","Perfil Técnico","","Bastante","Buena","Normal","","","Buena","Buena","Normal","Buena","Buena","Normal","Buena","","Normal","","Normal","Bastante","Buena","","Bastante","Buena","","Buena","","Bastante","Buena","","","Normal","","151.22","28.07","","","","","23.41","","","","","38.58","","","","","","","","","","","","43.19","","","","","","","","","","12.16","","","","","5.81","",""
"57","","","es","2015-05-25 11:58:38","2015-05-25 11:58:38","10.225.14.57, 10.225.17.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","","es","2015-05-25 11:59:14","2015-05-25 11:59:14","10.230.49.152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","2015-05-25 12:12:56","7","es","2015-05-25 12:12:56","2015-05-25 12:12:56","10.234.17.146, 10.235.52.209","","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Enlace Dinamizador","Bastante","","","Normal","","Normal","","","","","","","","Excelente","Excelente","","Buena","Bastante","Buena","","Bastante","","","Buena","","Bastante","Buena","Buena","","Buena","","133.49","20.73","","","8.77","","8.6","","","","","26.22","","","","","","","","","","","","45.85","","","","","","","","","","17.22","","","","","6.1","",""
"60","2015-05-25 12:14:42","7","es","2015-05-25 12:14:42","2015-05-25 12:14:42","10.202.56.131, 10.235.52.208","","SAS_SSPA - Servicio Andaluz de Salud, Hospitales","Perfil Técnico","","Bastante","Buena","Buena","","","Excelente","Excelente","Buena","Excelente","Buena","Excelente","Excelente","Excelente","Excelente","","Buena","Bastante","Excelente","","Bastante","Excelente","","Buena","","Parcialmente","Buena","","","Buena","","193.32","75.25","","","","","23.79","","","","","40.79","","","","","","","","","","","","31.1","","","","","","","","","","13.43","","","","","8.96","",""
"61","2015-05-25 12:44:37","7","es","2015-05-25 12:44:37","2015-05-25 12:44:37","10.104.49.202, 10.104.48.62, 10.235.52.205","","SAS_SSPA - Servicio Andaluz de Salud, Hospitales","Perfil Técnico","","Bastante","Normal","Buena","La solución al problema existente fue adecuada, pero lo cierto es que, aunque la criticidad era nivel 1, en la que la bbdd del hospital estaba parada, hubo tiempos de espera al resolutor del SR que creo se podrían haber mejorado.","","Excelente","Buena","Buena","Buena","Excelente","Buena","Excelente","Excelente","Excelente","","Buena","Totalmente","Buena","","Bastante","Buena","","Buena","","Totalmente","Normal","","","Excelente","El servicio recibido por parte de Servicio Corporativo de Oracle ha sido en general muy bueno, aportando soluciones adecuadas. Solamente una vez que se tuvo que abrir SR con criticidad 1 por estar la bbdd parada, hubo mucho tiempo de espera de respuesta por parte del técnico resolutor del SR.","1258.19","58.9","","","","","465.82","","","","","211.61","","","","","","","","","","","","115.9","","","","","","","","","","124.3","","","","","281.66","",""
"63","2015-05-25 14:03:53","7","es","2015-05-25 14:03:53","2015-05-25 14:03:53","10.234.17.95, 10.235.52.209","","SAS_SSPA - Servicio Andaluz de Salud, Hospitales","Enlace Dinamizador","Totalmente","","","Buena","Sin objeciones","","","","","","","","","Buena","Buena","Lo que más se valora son los conocimientos del negocio que hacen aportar una solución adaptada a las necesidades.
","Buena","Bastante","Buena","","Bastante","","","Buena","","Bastante","Buena","Buena","","Buena","","229.44","25.19","","","9.1","","25.98","","","","","73.2","","","","","","","","","","","","44.13","","","","","","","","","","42.4","","","","","9.44","",""
"64","2015-05-25 15:00:57","7","es","2015-05-25 15:00:57","2015-05-25 15:00:57","10.231.228.24","","CTC - Consejería de Turismo y Comercio","Perfil Técnico","","Totalmente","Excelente","Excelente","","","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","Excelente","","Excelente","Totalmente","Excelente","","Totalmente","Excelente","","Excelente","","Totalmente","Excelente","","","Excelente","","159.52","45.68","","","","","28.06","","","","","38.07","","","","","","","","","","","","25.85","","","","","","","","","","14.71","","","","","7.15","",""
"65","2015-05-25 16:48:14","7","es","2015-05-25 16:48:14","2015-05-25 16:48:14","10.234.17.66, 10.235.52.209","","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Perfil Técnico","","Parcialmente","Normal","Normal","","","Excelente","Buena","Buena","Buena","Buena","Buena","Excelente","Buena","Buena","","Normal","Parcialmente","Buena","","Parcialmente","Buena","","Normal","","Parcialmente","Buena","","","Normal","","541.15","134.02","","","","","77.69","","","","","77.39","","","","","","","","","","","","158.42","","","","","","","","","","80.09","","","","","13.54","",""
"66","2015-05-26 07:31:18","7","es","2015-05-26 07:31:18","2015-05-26 07:31:18","10.238.8.21","","AMAYA - Agencia de Medio Ambiente y Agua de Andalucía","Representante","Parcialmente","","","Buena","El soporte que recibimos de MOS procede en la mayoría de las ocasiones de Notas de Conocimiento más que de una investigación sobre la incidencia reportada. Esas notas se pueden conseguir directamente en el buscador de MOR por lo que la aportación de valor es insuficiente a veces.","Excelente","","","","","","","","Excelente","Excelente","Creo que es necesario consignar aquí nuestra más cordial enhorabuena al equipo humano que está detrás del SA.","Excelente","Bastante","Excelente","","Parcialmente","","En este ejercicio se han repetido dos de las cuatro charlas que se hicieron el año pasado. Eso puede estar bien para quien no asistió a ellas en su momento, pero desde luego desanima o hace perder el interés a los que asistieron a todas las charlas del año pasado.

Sugiero que las transferencias de conocimiento que se realicen queden disponibles (video) en la OVCTIC o en la Red Profesional.","Buena","","Bastante","Excelente","Excelente","","Excelente","","694.5","17.76","","","10.77","","110.42","","","","","77.08","","","","","","","","","","","","371.79","","","","","","","","","","93.3","","","","","13.38","",""
"67","2015-05-26 07:50:31","7","es","2015-05-26 07:50:31","2015-05-26 07:50:31","10.226.103.4","","CECD_CUL - Consejería de Educación, Cultura y Deporte, Área de Cultura","Perfil Técnico","","Bastante","Buena","Buena","","","Excelente","Buena","Excelente","Excelente","Buena","Excelente","Excelente","Buena","Excelente","","Buena","Bastante","Buena","","Bastante","Buena","","Buena","","Bastante","Normal","","","Buena","","188.81","19.86","","","","","26.84","","","","","56.65","","","","","","","","","","","","57.77","","","","","","","","","","21.85","","","","","5.84","",""
"68","2015-05-26 08:48:55","7","es","2015-05-26 08:48:55","2015-05-26 08:48:55","10.230.65.175","","IFAPA - Instituto de Investigación y Formación Agraria y Pesquera de Andalucía","Representante","Totalmente","","","Buena","","Excelente","","","","","","","","Excelente","Excelente","","","Totalmente","Buena","","Totalmente","","","Buena","","Totalmente","Excelente","Excelente","","Excelente","","131.2","20.09","","","8.83","","14.45","","","","","20.42","","","","","","","","","","","","38.32","","","","","","","","","","19.86","","","","","9.23","",""
"69","","","es","2015-05-26 10:00:39","2015-05-26 10:00:39","10.231.228.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","2015-05-26 13:03:58","7","es","2015-05-26 13:03:58","2015-05-26 13:03:58","10.231.228.7","","CTC - Consejería de Turismo y Comercio","Perfil Técnico","","","","","","","Buena","Buena","Buena","Buena","Buena","Buena","","Buena","Buena","","","","","","","","","","","","","","","Buena","","156.92","9.53","","","","","23.43","","","","","92.52","","","","","","","","","","","","10.28","","","","","","","","","","4.48","","","","","16.68","",""
"71","","0","es","2015-05-26 14:02:52","2015-05-26 14:02:52","150.214.3.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.65","5.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72","2015-05-26 23:46:25","7","es","2015-05-26 23:46:25","2015-05-26 23:46:25","10.228.144.152","","CPRE - Consejería de Presidencia","Representante","Totalmente","","","Buena","","Excelente","","","","","","","","Excelente","Excelente","","Excelente","Bastante","Excelente","","Bastante","","","Excelente","Sería necesario que el soporte avanzado incluyera más servicios, y que su uso para determinados trabajos no fuera tan limitado. 
Además, sería muy interesante que también pudiera realizar trabajos de instalación, tal y como hacía en contratos anteriores.","Bastante","Buena","Buena","","Buena","El Servicio Corporativo Oracle es un servicio totalmente necesario para el correcto funcionamiento de muchos de los Sistemas de Información corporativos, basados en soluciones Oracle.
Aunque es cierto que las Consejerías debemos hacer uso correcto del soporte básico, también es verdad que es fundamental un soporte avanzado sin tantas limitaciones de uso.
Debería tenerse en cuenta para los próximos contratos.

También echo de menos el envío de información sobre los CIS del proyecto Oracle, de los cuáles formé parte en el pasado, pues su formato ha cambiado y ya no nos llega ninguna información.","650.6","38.24","","","10.26","","28.38","","","","","33.79","","","","","","","","","","","","195.15","","","","","","","","","","27.67","","","","","317.11","",""
"75","2015-05-27 10:02:36","7","es","2015-05-27 10:02:36","2015-05-27 10:02:36","10.244.255.43","http://www.sandetel.es/calidad/index.php/378888/token/58vn3afqsutq6z6/lang/es/newtest/Y","CICA - Centro Informático Científico de Andalucía","Enlace Dinamizador","Bastante","","","Excelente","","Buena","","","","","","","","","","El gestor ha cambiado recientemente, por lo que no tenemos todavía un a opinión formda sobre la nueva responsable.","Excelente","Totalmente","Excelente","","Totalmente","","","Excelente","","Totalmente","Excelente","Normal","El CAU no es ágil en el tratamiento incial de las incidencias","Excelente","","315.27","15.26","","","9.6","","14.49","","","","","96.25","","","","","","","","","","","","71.48","","","","","","","","","","87.61","","","","","20.58","",""
"74","","1","es","2015-05-27 09:59:59","2015-05-27 09:59:59","150.214.4.132","","CICA - Centro Informático Científico de Andalucía","Enlace Dinamizador","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.12","117.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","2015-05-27 15:38:52","7","es","2015-05-27 15:38:52","2015-05-27 15:38:52","10.205.121.205, 10.205.96.59","","EPES - Empresa Pública de Emergencias Sanitarias","Perfil Técnico","","","Buena","","Solicite acceso a MOS con el contrato de soporte correcto de la Junta y al tiempo me fue denegada. 
Lo hice con mi cuenta de siempre que ya usaba en Oracle (jantona@epes.es)
¿es requisito necesario regitrarse en Oracle con la cuenta corporativa? (jesus.antona.ext@juntadeandalucia.es)

Gracias y saludos cordials, Curro","","Excelente","Excelente","Buena","Buena","","Buena","Excelente","Buena","Buena","","Buena","Bastante","Excelente","","Bastante","Buena","","Buena","","Bastante","Buena","","","Buena","","793.1","20.6","","","","","555.39","","","","","76.79","","","","","","","","","","","","99.01","","","","","","","","","","32.34","","","","","8.97","",""
"77","2015-05-28 07:40:25","7","es","2015-05-28 07:40:25","2015-05-28 07:40:25","10.243.196.19","","ASSDA - Agencia de Servicios Sociales y Dependencia de Andalucía","Perfil Técnico","","Bastante","","","","","Excelente","Regular","Buena","Buena","Excelente","Normal","Excelente","Normal","Buena","","","","","","Bastante","Buena","","Buena","","Parcialmente","Buena","","","Regular","El servicio recibido es satisfactorio, aunque la reducción que se ha producido en las funciones del soporte avanzado lo ha hecho menos interesante. En muchas ocasiones, el trabajo que realizaban acaba haciendose por asistencias técnicas, que tienen un nivel de cualificación y experiencia que en ocasiones deja que desear.","531.42","12.41","","","","","22.55","","","","","139.24","","","","","","","","","","","","129.1","","","","","","","","","","32.12","","","","","196","",""
"78","2015-05-28 07:57:57","7","es","2015-05-28 07:57:57","2015-05-28 07:57:57","10.232.1.53, 10.233.3.60, 10.235.52.209","","SAS_SSPA - Servicio Andaluz de Salud, Hospitales","Perfil Técnico","","Bastante","Buena","Buena","","","Excelente","Excelente","Excelente","Excelente","Buena","Buena","Excelente","Excelente","Excelente","","","","","","Totalmente","","","","","Muy poco","","","","Excelente","","368.53","47.28","","","","","77.74","","","","","93.84","","","","","","","","","","","","87.63","","","","","","","","","","42.95","","","","","19.09","",""
"79","","3","es","2015-05-28 08:15:46","2015-05-28 08:15:46","10.238.104.59","","CEICE - Consejería de Economía, Innovación, Ciencia y Empleo","Perfil Técnico","","Bastante","Buena","Buena","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.34","79.98","","","","","23.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","2","es","2015-05-28 08:17:41","2015-05-28 08:17:41","10.239.216.172","","CAPDER - Consejería de Agricultura, Pesca y Desarrollo Rural","Perfil Técnico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.15","22.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","2015-05-28 08:57:34","7","es","2015-05-28 08:57:34","2015-05-28 08:57:34","10.229.143.101","","CFV - Consejería de Fomento y Vivienda","Perfil Técnico","","Totalmente","Buena","Buena","","","Normal","Regular","Regular","Regular","Regular","Regular","Regular","Regular","Regular","","Regular","Muy poco","Regular","","Parcialmente","Regular","","Regular","","Bastante","Buena","","","Regular","","247.96","28.83","","","","","26.7","","","","","68.54","","","","","","","","","","","","89.03","","","","","","","","","","18.1","","","","","16.76","",""
"82","2015-05-28 13:13:01","7","es","2015-05-28 13:13:01","2015-05-28 13:13:01","10.230.24.22","","CEICE - Consejería de Economía, Innovación, Ciencia y Empleo","Perfil Técnico","","Parcialmente","Normal","Normal","","","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Normal","Buena","","Buena","Parcialmente","","","Bastante","Buena","","Buena","","Bastante","Normal","","","Normal","","623.78","11.54","","","","","43.83","","","","","186.96","","","","","","","","","","","","242.65","","","","","","","","","","60.99","","","","","77.81","",""
"83","2015-05-29 06:23:56","7","es","2015-05-29 06:23:56","2015-05-29 06:23:56","10.226.139.162","","CHAP - Consejería de Hacienda y Administración Pública","Enlace Dinamizador","Bastante","","","Buena","","Normal","","","","","","","","Buena","Buena","","Excelente","Bastante","Buena","","Bastante","","","Buena","","Totalmente","Buena","Buena","","Buena","","290.62","175.74","","","7.49","","12.81","","","","","20.71","","","","","","","","","","","","40.88","","","","","","","","","","26.52","","","","","6.47","",""
"85","2015-05-29 12:12:07","7","es","2015-05-29 12:12:07","2015-05-29 12:12:07","10.242.66.4","","VEIASA - Verificaciones Industriales de Andalucía, S.A.","Enlace Dinamizador","Parcialmente","","","Buena","","Excelente","","","","","","","","Normal","Excelente","","Normal","Bastante","Excelente","","Bastante","","","Buena","","Bastante","Excelente","Excelente","","Buena","","166.38","15.3","","","12.84","","12.94","","","","","29.5","","","","","","","","","","","","66.69","","","","","","","","","","23.1","","","","","6.01","",""
"88","2015-06-02 07:40:44","7","es","2015-06-02 07:40:44","2015-06-02 07:40:44","10.238.8.21","","AMAYA - Agencia de Medio Ambiente y Agua de Andalucía","Enlace Dinamizador","Totalmente","","","Buena","No lo utilizo con asiduidad. Por las referencias de los técnicos de base de datos, parece que el nivel de resolución de incidencias en MOS es algo básico. y les obliga a veces a buscar por su cuenta la solución al problema.","Excelente","","","","","","","","Buena","Excelente","A valorar el gran conocimiento y profesionalidad de los ingenieros que nos han prestado soporte en alguna ocasión. Quizás se echara en falta algo más de información a los dinamizadores y representante sobre los resultados de cada intervención.","Buena","Bastante","Excelente","Información de resumen a los dinamizadores y representante sobre cada una de las actuaciones realizadas después de cerrarse las mismas.","Parcialmente","","Parece que se han repetido algunas sesiones del pasado año, por lo que a nuestros técnicos no le son de mucha utilidad.","Excelente","Me reitero en los aspectos anteriores: sería interesante recibir un resumen de cada intervención una vez que ésta se cierra.","Bastante","Excelente","Excelente","","Excelente","","928.29","38.9","","","17.18","","104.51","","","","","123.9","","","","","","","","","","","","373.7","","","","","","","","","","248.71","","","","","21.39","",""
